DATE,Output Gap,CPI,RRP
1958-01-01,-3.3684563377333800,2.79720,1.8633333333333300
1958-04-01,-3.5947240197595700,2.42775,0.94000000000000000000
1958-07-01,-2.2471685848268100,2.06659,1.32333333333333000000
1958-10-01,-0.89405797478551200000,1.82232,2.1633333333333300
1959-01-01,0.06311489388884780000,1.81406,2.5700000000000000
1959-04-01,1.3386252054974000,1.91874,3.0833333333333300
1959-07-01,0.39324045845677100000,2.02475,3.5766666666666700
1959-10-01,-0.32688868010697100000,2.12528,3.9900000000000000
1960-01-01,0.87863697258652400000,2.11581,3.9333333333333300
1960-04-01,-0.66563930351370300000,1.77187,3.6966666666666700
1960-07-01,-1.1709866664189400,1.21279,2.9366666666666700
1960-10-01,-3.3904161738472300,1.09529,2.2966666666666700
1961-01-01,-3.6917917092154800,0.87241,2.0033333333333300
1961-04-01,-2.9852165278714300,0.97933,1.7333333333333300
1961-07-01,-2.0897731587337500,1.52505,1.6833333333333300
1961-10-01,-1.1463784755546800,1.30011,2.4000000000000000
1962-01-01,-0.38905360564919400000,1.29730,2.4566666666666700
1962-04-01,-0.50932250592127500000,1.40086,2.6066666666666700
1962-07-01,-0.32461096252211000000,1.28755,2.8466666666666700
1962-10-01,-1.0361416036578800,1.17647,2.9233333333333300
1963-01-01,-0.99708624612832400000,1.17396,2.9666666666666700
1963-04-01,-0.94027834472541600000,1.16897,2.9633333333333300
1963-07-01,0.16429154233853500000,1.27119,3.3300000000000000
1963-10-01,-0.25858623813418500000,1.58562,3.4533333333333300
1964-01-01,0.76252492953330300000,1.89873,3.4633333333333300
1964-04-01,0.76545868463191200000,1.57563,3.4900000000000000
1964-07-01,1.2384632145096800,1.35983,3.4566666666666700
1964-10-01,0.46836949262597400000,1.35276,3.5766666666666700
1965-01-01,1.7793215531358100,1.24224,3.9766666666666700
1965-04-01,1.9725977594900200,1.44778,4.0800000000000000
1965-07-01,3.1041542079313600,1.34159,4.0766666666666700
1965-10-01,4.3292200988884900,1.33470,4.1666666666666700
1966-01-01,5.6965699852055200,1.43149,4.5600000000000000
1966-04-01,4.8898634822594500,2.14067,4.9133333333333300
1966-07-01,4.6085455439628300,2.95316,5.4100000000000000
1966-10-01,4.3169919636550300,3.44478,5.5633333333333300
1967-01-01,4.0875010094334900,3.52823,4.8233333333333300
1967-04-01,3.0153957889196300,3.29341,3.9900000000000000
1967-07-01,2.8586958803583000,3.46192,3.8933333333333300
1967-10-01,2.4931404273771100,3.52595,4.1733333333333300
1968-01-01,3.4308952805120300,4.18695,4.7900000000000000
1968-04-01,4.0105200139429600,4.44444,5.9833333333333300
1968-07-01,3.6561035434497600,4.78011,5.9466666666666700
1968-10-01,2.9060517052490000,5.20341,5.9166666666666700
1969-01-01,3.4022468633291400,5.32710,6.5666666666666700
1969-04-01,2.6613773602009700,5.92044,8.3266666666666700
1969-07-01,2.3468041127328200,5.93066,8.9833333333333300
1969-10-01,0.91842285595246900000,5.84532,8.9400000000000000
1970-01-01,-0.10842127122173900000,6.03372,8.5733333333333300
1970-04-01,-0.79354080332470100000,6.28821,7.8866666666666700
1970-07-01,-0.67343494618534000000,6.20155,6.7066666666666700
1970-10-01,-2.4913922342857300,6.45709,5.5666666666666700
1971-01-01,-0.60611563130848400000,5.85774,3.8566666666666700
1971-04-01,-0.83912730141756100000,5.01233,4.5666666666666700
1971-07-01,-0.79961707877093100000,4.54177,5.4766666666666700
1971-10-01,-1.3436480136660500,3.43176,4.7500000000000000
1972-01-01,-0.32389355736342000000,3.32016,3.5466666666666700
1972-04-01,1.1272911168378100,3.05164,4.3000000000000000
1972-07-01,1.2633560317264300,2.94802,4.7433333333333300
1972-10-01,2.1259896819676700,2.93210,5.1466666666666700
1973-01-01,3.7941282914156900,2.83091,6.5366666666666700
1973-04-01,4.0289865432619600,3.11314,7.8166666666666700
1973-07-01,2.5960873402325400,3.39111,10.5600000000000000
1973-10-01,2.6710528521639300,4.57271,9.9966666666666700
1974-01-01,0.90124254265987400000,5.43155,9.3233333333333300
1974-04-01,0.26207858258917600000,7.06922,11.2500000000000000
1974-07-01,-1.5310894974575600,9.62099,12.0900000000000000
1974-10-01,-2.7290016074580300,10.96774,9.3466666666666700
1975-01-01,-4.6841458188880700,11.57375,6.3033333333333300
1975-04-01,-4.7506158896665800,10.45392,5.4200000000000000
1975-07-01,-3.8624942217700700,8.17819,6.1600000000000000
1975-10-01,-3.3095906473294500,6.91214,5.4133333333333300
1976-01-01,-1.8802035015052900,6.64137,4.8266666666666700
1976-04-01,-1.9134631366735300,6.41345,5.1966666666666700
1976-07-01,-2.1433008099195300,6.76091,5.2833333333333300
1976-10-01,-2.2075777559316000,6.40483,4.8733333333333300
1977-01-01,-1.8484384896797400,6.16845,4.6600000000000000
1977-04-01,-0.75773374775502700000,6.43651,5.1566666666666700
1977-07-01,0.20187938710380500000,6.21762,5.8200000000000000
1977-10-01,-0.63561730128962000000,6.18966,6.5133333333333300
1978-01-01,-1.1684970078027300,6.31285,6.7566666666666700
1978-04-01,1.7655719538808300,6.76196,7.2833333333333300
1978-07-01,1.8866633187927000,7.53388,8.1000000000000000
1978-10-01,2.3410520041624100,8.44920,9.5833333333333300
1979-01-01,1.5993542249254500,9.03836,10.0733333333333000
1979-04-01,0.82787135578371400000,9.37178,10.1800000000000000
1979-07-01,0.68877873908981700000,9.82863,10.9466666666667000
1979-10-01,0.19303388171448500000,10.70020,13.5766666666667000
1980-01-01,-0.17435287815030600000,12.19277,15.0466666666667000
1980-04-01,-2.8278131438863000,13.27684,12.6866666666667000
1980-07-01,-3.4692943264406600,12.06976,9.8366666666666700
1980-10-01,-2.2284398077549500,12.16036,15.8533333333333000
1981-01-01,-0.93468826603642800000,10.69588,16.5700000000000000
1981-04-01,-2.3228575936066100,9.47631,17.7800000000000000
1981-07-01,-1.8423422008820000,11.50696,17.5766666666667000
1981-10-01,-3.6187947049280200,10.24623,13.5866666666667000
1982-01-01,-5.8259823652799100,9.04152,14.2266666666667000
1982-04-01,-6.1159389955109300,8.65604,14.5133333333333000
1982-07-01,-7.1949342987413300,6.86743,11.0066666666667000
1982-10-01,-7.8809638590911500,5.18732,9.2866666666666700
1983-01-01,-7.3877771047460900,4.55516,8.6533333333333300
1983-04-01,-6.0235128244415000,3.66876,8.8033333333333300
1983-07-01,-4.9128071024211000,3.23024,9.4600000000000000
1983-10-01,-3.7322879700659100,4.21233,9.4300000000000000
1984-01-01,-2.7657407150722300,5.00340,9.6866666666666700
1984-04-01,-1.9477176059704700,5.25784,10.5566666666667000
1984-07-01,-1.8768839913703900,5.25965,11.3900000000000000
1984-10-01,-1.9509982981097700,4.96221,9.2666666666666700
1985-01-01,-1.8764865649242500,4.66775,8.4766666666666700
1985-04-01,-1.8826746632173200,4.48287,7.9233333333333300
1985-07-01,-1.2505646446482600,4.11132,7.9000000000000000
1985-10-01,-1.3687505465141100,4.25798,8.1033333333333300
1986-01-01,-1.2862715986553200,4.24280,7.8266666666666700
1986-04-01,-1.6656700294224500,4.01471,6.9200000000000000
1986-07-01,-1.5406254733045500,4.07047,6.2066666666666700
1986-10-01,-1.8180911651804900,3.87387,6.2666666666666700
1987-01-01,-1.8809687324804700,3.59477,6.2200000000000000
1987-04-01,-1.6093131214606100,3.97761,6.6500000000000000
1987-07-01,-1.5339189835828000,3.96964,6.8433333333333300
1987-10-01,-0.62538884939329000000,4.16305,6.9166666666666700
1988-01-01,-0.88182363670596800000,4.33037,6.6633333333333300
1988-04-01,-0.35032608350711200000,4.33551,7.1566666666666700
1988-07-01,-0.52794900735834200000,4.51993,7.9833333333333300
1988-10-01,0.03813119990337980000,4.57952,8.4700000000000000
1989-01-01,0.30320494092393600000,4.67290,9.4433333333333300
1989-04-01,0.32669841430929800000,4.53558,9.7266666666666700
1989-07-01,0.33808025221243600000,4.37819,9.0833333333333300
1989-10-01,-0.18409415815590400000,4.37898,8.6133333333333300
1990-01-01,0.19827171920646800000,4.59559,8.2500000000000000
1990-04-01,-0.13235234133522700000,4.83242,8.2433333333333300
1990-07-01,-0.73673587058573000000,5.37828,8.1600000000000000
1990-10-01,-2.2836581856381200,5.31401,7.7433333333333300
1991-01-01,-3.3637564604234900,5.49837,6.4266666666666700
1991-04-01,-3.2216854598169500,5.08055,5.8633333333333300
1991-07-01,-3.3359040262784500,4.66422,5.6433333333333300
1991-10-01,-3.6003822771509500,4.44230,4.8166666666666700
1992-01-01,-3.0537004917837800,3.85531,4.0233333333333300
1992-04-01,-2.6186544201490400,3.82075,3.7700000000000000
1992-07-01,-2.2875482708898200,3.49977,3.2566666666666700
1992-10-01,-1.90844675144133000000,3.46741,3.0366666666666700
1993-01-01,-2.3875759279975400,3.46013,3.0400000000000000
1993-04-01,-2.4730824081523200,3.43026,3.0000000000000000
1993-07-01,-2.6655322986052500,3.24617,3.0600000000000000
1993-10-01,-2.0075264919009600,3.12779,2.9900000000000000
1994-01-01,-1.72524717759254000000,2.90144,3.2133333333333300
1994-04-01,-1.06633060045326000000,2.74544,3.9400000000000000
1994-07-01,-1.16489815464655000000,2.90393,4.4866666666666700
1994-10-01,-0.71349108021003100000,2.75130,5.1666666666666700
1995-01-01,-1.03744267383150000000,2.94877,5.8100000000000000
1995-04-01,-1.41794498675899000000,3.07824,6.0200000000000000
1995-07-01,-1.25376414159479000000,2.99173,5.7966666666666700
1995-10-01,-1.26762176765226000000,3.05714,5.7200000000000000
1996-01-01,-1.21884075701404000000,2.88522,5.3633333333333300
1996-04-01,-0.30597482979086800000,2.65450,5.2433333333333300
1996-07-01,-0.19350822328051000000,2.63700,5.3066666666666700
1996-10-01,0.01504070450904340000,2.57774,5.2800000000000000
1997-01-01,-0.20725438140363500000,2.47917,5.2766666666666700
1997-04-01,0.54140677863716100000,2.52525,5.5233333333333300
1997-07-01,0.84890985524364000000,2.30831,5.5333333333333300
1997-10-01,0.74074575152798700000,2.23375,5.5066666666666700
1998-01-01,0.75395745340293600000,2.26056,5.5200000000000000
1998-04-01,0.67158464495484500000,2.18719,5.5000000000000000
1998-07-01,0.90708014246844200000,2.35433,5.5333333333333300
1998-10-01,1.49825860270569000000,2.34101,4.8600000000000000
1999-01-01,1.40757480596351000000,2.17181,4.7333333333333300
1999-04-01,1.20598118223730000000,2.08253,4.7466666666666700
1999-07-01,1.49093914934044000000,2.01265,5.0933333333333300
1999-10-01,2.0907329598726000,2.02059,5.3066666666666700
2000-01-01,1.40366434830703000000,2.23951,5.6766666666666700
2000-04-01,2.2133278532748600,2.39894,6.2733333333333300
2000-07-01,1.33622018608941000000,2.53664,6.5200000000000000
2000-10-01,1.01381494597032000000,2.57848,6.4733333333333300
2001-01-01,-0.17651419000671400000,2.65454,5.5933333333333300
2001-04-01,-0.36707343109081000000,2.63789,4.3266666666666700
2001-07-01,-1.5191401066527400,2.65714,3.4966666666666700
2001-10-01,-1.9535464670847700,2.71403,2.1333333333333300
2002-01-01,-1.8114365258151700,2.53165,1.7333333333333300
2002-04-01,-1.8510070072902100,2.42631,1.7500000000000000
2002-07-01,-2.0817133349299800,2.26705,1.7400000000000000
2002-10-01,-2.5647218086624800,2.05710,1.4433333333333300
2003-01-01,-2.6660776698825400,1.83422,1.25000000000000000000
2003-04-01,-2.4049464628414000,1.49149,1.24666666666667000000
2003-07-01,-1.38922721751736000000,1.36149,1.01666666666667000000
2003-10-01,-0.86926817033306800000,1.16421,0.99666666666666700000
2004-01-01,-0.92803868441396700000,1.31625,1.00333333333333000000
2004-04-01,-0.78929798513064400000,1.78077,1.01000000000000000000
2004-07-01,-0.50118280269719400000,1.80816,1.4333333333333300
2004-10-01,-0.13637138655709200000,2.16420,1.9500000000000000
2005-01-01,0.33248964941580400000,2.30769,2.4700000000000000
2005-04-01,0.20081507068370100000,2.14031,2.9433333333333300
2005-07-01,0.37937731800810900000,2.04668,3.4600000000000000
2005-10-01,0.35694021226985800000,2.10155,3.9800000000000000
2006-01-01,1.13060217942788000000,2.10526,4.4566666666666700
2006-04-01,0.81475848658890700000,2.46133,4.9066666666666700
2006-07-01,0.42924874892074600000,2.81784,5.2466666666666700
2006-10-01,0.76209071904719000000,2.66754,5.2466666666666700
2007-01-01,0.54801543973548200000,2.62690,5.2566666666666700
2007-04-01,0.67865570786171800000,2.28810,5.2500000000000000
2007-07-01,0.77110324871378500000,2.11930,5.0733333333333300
2007-10-01,0.87639263817583900000,2.31034,4.4966666666666700
2008-01-01,-0.03177023759434610000,2.38809,3.1766666666666700
2008-04-01,0.06226899449243530000,2.33625,2.0866666666666700
2008-07-01,-0.91404550191046900000,2.46667,1.9400000000000000
2008-10-01,-3.4860718276631700,1.99951,0.50666666666666700000
2009-01-01,-4.9790944063897000,1.75369,0.18333333333333300000
2009-04-01,-5.4793774568080800,1.82999,0.18000000000000000000
2009-07-01,-5.4557860554528300,1.48027,0.15666666666666700000
2009-10-01,-4.7557152648726100,1.75022,0.12000000000000000000
2010-01-01,-4.5905218747646500,1.34009,0.13333333333333300000
2010-04-01,-3.9873229657478500,0.95261,0.19333333333333300000
2010-07-01,-3.5815431538272400,0.89634,0.18666666666666700000
2010-10-01,-3.4290407945991700,0.64557,0.18666666666666700000
2011-01-01,-4.0202987326086100,1.10595,0.15666666666666700000
2011-04-01,-3.7424550728944800,1.45118,0.09333333333333330000
2011-07-01,-4.1631700994392400,1.89818,0.08333333333333330000
2011-10-01,-3.4832416858153500,2.17432,0.07333333333333330000
2012-01-01,-3.0988238138728700,2.22848,0.10333333333333300000
2012-04-01,-3.0726105554013200,2.25290,0.15333333333333300000
2012-07-01,-3.3250444364821000,2.01773,0.14333333333333300000
2012-10-01,-3.6450404845199800,1.94900,0.16000000000000000000
2013-01-01,-3.2431023572143800,1.92917,0.14333333333333300000
2013-04-01,-3.5452808806774300,1.66135,0.11666666666666700000
2013-07-01,-3.2215718476605000,1.74478,0.08333333333333330000
2013-10-01,-2.9783366651462400,1.72315,0.08666666666666670000
2014-01-01,-3.7628238708263500,1.60251,0.07333333333333330000
2014-04-01,-2.9771663833843600,1.89651,0.09333333333333330000
2014-07-01,-2.3067529660183800,1.77404,0.09000000000000000000
2014-10-01,-2.3292276209052100,1.72710,0.10000000000000000000
2015-01-01,-1.9969284462898600,1.68842,0.11000000000000000000
2015-04-01,-1.8894438222138400,1.77700,0.12333333333333300000
2015-07-01,-2.0273802474028100,1.86081,0.13666666666666700000
2015-10-01,-2.3295166118956800,1.99420,0.16000000000000000000
2016-01-01,-2.1941545318581600,2.17000,0.36000000000000000000
2016-04-01,-2.3309284699293800,2.22453,0.37333333333333300000
2016-07-01,-2.1700397537368100,2.25004,0.39666666666666700000
2016-10-01,-2.1066142674955900,2.18236,0.45000000000000000000
2017-01-01,-2.0679588679091600,2.17701,0.70000000000000000000
2017-04-01,-1.9405537345535700,1.77746,0.95000000000000000000
2017-07-01,-1.6669512749850600,1.64248,1.15333333333333000000
2017-10-01,-1.1848679539538900,1.75581,1.20333333333333000000
2018-01-01,-0.88320282484423400000,1.90840,1.4466666666666700
2018-04-01,-0.52077069430579400000,2.22693,1.7366666666666700
2018-07-01,-0.51395185922639900000,2.25119,1.9233333333333300
2018-10-01,-0.76379034878538100000,2.19250,2.2200000000000000
2019-01-01,-0.64136697064881900000,2.09098,2.4033333333333300
2019-04-01,-0.32740272184664400000,2.07740,2.3966666666666700
2019-07-01,-0.11897488760879400000,2.30287,2.1900000000000000
2019-10-01,-0.12113581295242400000,2.29141,1.6433333333333300
2020-01-01,-1.8760072147191700,2.25038,1.26000000000000000000
2020-04-01,-11.0386186554027000,1.30090,0.06000000000000000000
2020-07-01,-4.7051917672017600,1.66016,0.09333333333333330000
2020-10-01,-4.0466398228940500,1.62141,0.09000000000000000000
2021-01-01,-2.9974562841794300,1.44500,0.08000000000000000000
2021-04-01,-1.8480726945080300,3.74198,0.07000000000000000000
2021-07-01,-1.7350054129533500,4.06660,0.09000000000000000000
2021-10-01,-0.54232413005936900000,5.00808,0.08000000000000000000
2022-01-01,-1.38728196566436000000,6.29779,0.12000000000000000000
2022-04-01,-1.9984647667450400,6.01857,0.77000000000000000000